Nome Urna;Coligação;Totalização;Partido
AIRTON LIMA;REPUBLICANOS;Concorrendo;10444
ALANO;MDB;Concorrendo;15757
ALEMÃO DA BORRACHARIA;PODE;Concorrendo;20007
ALEMÃO KLAUS;PL;Concorrendo;22345
ALEQUIS COLETIVO;PSB;Concorrendo;40400
ALEX BARBOZA;PODE;Concorrendo;20051
ALEX GUATI;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45333
ALEXANDRA LENTZ;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;11100
ALEXANDRE;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45459
ALEXANDRE BUBLITZ;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13010
ALEXANDRE GONÇALVES;PDT;Concorrendo;12001
ALEXIS GREGO;PODE;Concorrendo;20010
ALI KLEMT;PL;Concorrendo;22800
ALICE CARVALHO;FEDERAÇÃO PSOL REDE(PSOL/REDE);Concorrendo;50777
ALVARO MANZONI;REPUBLICANOS;Concorrendo;10610
AMADEU BOEIRA;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;44661
AMANDA RODRIGUES;PDT;Concorrendo;12700
AMARAL NEGRITO;PSB;Concorrendo;40466
ANA AFFONSO;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13813
ANA CRISTINA;MDB;Concorrendo;15770
ANA TÓPPOR;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45007
ANDERSON SILVA;PSTU;Concorrendo;16161
ANDRÉ DUARTE;PDT;Concorrendo;12470
ANDRÉ OLIVEIRA;PSB;Concorrendo;40140
ANDREIA MARGAREZI;PDT;Concorrendo;12777
ANDRESSA GONCALVES;DEMOCRATA;Concorrendo;35432
ANDRESSA MAIS PARTICIPAÇÃO;PSB;Concorrendo;40800
ANETTE SCHIEMANN;NOVO;Concorrendo;30030
ANINHA;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;11411
ANTONIO JUNIOR;DEMOCRATA;Concorrendo;35300
APOENÃ;PODE;Concorrendo;20900
ARITA BERGMANN;PSD;Concorrendo;55555
ARLINDO LOPES;MDB;Concorrendo;15222
ARQUITETA MILENA;MDB;Concorrendo;15151
BARBARA PENNA;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;44180
BETO DA BEIRA DO RIO;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45011
BETO FANTINEL;MDB;Concorrendo;15500
BIA PICCOLI;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;11311
BOMBEIRO BATISTA;REPUBLICANOS;Concorrendo;10193
BROCCA;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;23023
BRUNA MARIN;MDB;Concorrendo;15815
BRUNA MOLZ;PODE;Concorrendo;20510
BRUNA RODRIGUES;PSB;Concorrendo;40180
BRUNNO MATTOS;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13013
BRUNO BERTÉ;PDT;Concorrendo;12121
CAMARGO DO UBER;NOVO;Concorrendo;30789
CAMILA MARQUES;MDB;Concorrendo;15959
CAMILA NUNES;PL;Concorrendo;22000
CAMILA RODRIGUES;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;23303
CAMILA WILLEMBERG;NOVO;Concorrendo;30712
CAMILO BAPTISTA;REPUBLICANOS;Concorrendo;10999
CAPITÃO MACEDO;PODE;Concorrendo;20122
CAPITÃO MARTIM;REPUBLICANOS;Concorrendo;10122
CARLA BRUM;REPUBLICANOS;Concorrendo;10888
CARLA DUWE;NOVO;Concorrendo;30003
CARLOS BREIK;PDT;Concorrendo;12612
CARLOS BÚRIGO;MDB;Concorrendo;15140
CARLOS DA CAIXA D'ÁGUA;PSD;Concorrendo;55188
CARLOS IRAN;MISSÃO;Concorrendo;14333
CARLOS MUCHALE;PDT;Concorrendo;12789
CARLOS TUBARÃO;REPUBLICANOS;Concorrendo;10250
CÁSSIO SILVEIRA;REPUBLICANOS;Concorrendo;10808
CÁTIA BELMONTE;PSD;Concorrendo;55333
CÁTINA MONTEIRO;PDT;Concorrendo;12912
CATITE;REPUBLICANOS;Concorrendo;10234
CELITO;PODE;Concorrendo;20321
CESAR OLIVEIRA;PSD;Concorrendo;55111
CÉSINHA;PSB;Concorrendo;40123
CHARLES ANDRADE;PL;Concorrendo;22202
CHARLES OLIVEIRA;NOVO;Concorrendo;30010
CHARLIS SANTOS;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;44000
CHIQUINHO ZONIN;PSB;Concorrendo;40111
CLAIR KUHN;MDB;Concorrendo;15789
CLASSMANN;PSD;Concorrendo;55200
CLAUDIA ARAUJO;PSD;Concorrendo;55777
CLÁUDIA AZEVEDO;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;43043
CLAUDIA LACERDA;NOVO;Concorrendo;30019
CLAUDINHA SANTOS;REPUBLICANOS;Concorrendo;10192
CLAUDIO PATAÇO;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45444
CLAUDIO QUEVEDO;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;11625
CLÁUDIO TATSCH;PL;Concorrendo;22034
CLAUDIO TORALLES;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13012
CLEDIGERSI DO HDV NEWS;DEMOCRATA;Concorrendo;35777
CLEONICE BACK;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13131
COMANDANTE NÁDIA;PL;Concorrendo;22190
COMETINHA;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45745
COMUNICADOR JULIANO;PODE;Concorrendo;20087
CORONEL EVERTON;NOVO;Concorrendo;30193
CRIS LOHMANN;MDB;Concorrendo;15123
CRISTIAN CORAÇÃO HUMANO;DEMOCRATA;Concorrendo;35077
CRISTIAN PAULO;NOVO;Concorrendo;30369
CRISTIANE VACCA;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;11033
CRISTIANE VALÉRIO;PSD;Concorrendo;55666
CRISTIANO CARDOSO;PDT;Concorrendo;12800
CRISTOL GOUVÊA;NOVO;Concorrendo;30999
DAIANE MELLO;PL;Concorrendo;22522
DAL BÓ;NOVO;Inapto;30330
DANI DARLEI;DEMOCRATA;Concorrendo;35018
DANI SILVA;NOVO;Concorrendo;30054
DANIEL BORDIM;PL;Concorrendo;22002
DANIEL BORGES;PL;Concorrendo;22333
DANIEL FERREIRA;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13313
DANIEL TORRES;DEMOCRATA;Concorrendo;35000
DANIELA BROCCA;REPUBLICANOS;Concorrendo;10789
DANIELA FIORENTIN;MDB;Concorrendo;15050
DANILO RODRIGUES;MDB;Concorrendo;15300
DANNI COUTO;MDB;Concorrendo;15700
DANRLEI MASSENA;PDT;Concorrendo;12444
DANUSA SULZBACHER;REPUBLICANOS;Concorrendo;10005
DARIU GARCIA;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13112
DARLÃ BELLINI;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45800
DÉIA RAMMÉ;REPUBLICANOS;Concorrendo;10010
DEISI MARANATA;PODE;Concorrendo;20700
DELEGADA ANA TAROUCO;PSD;Concorrendo;55222
DELEGADA NADINE;PSD;Concorrendo;55444
DELEGADO ZUCCO;REPUBLICANOS;Concorrendo;10222
DENTISTA ELISA;NOVO;Concorrendo;30301
DERLI DA SILVA;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45456
DIANA SALES;PSD;Concorrendo;55255
DIEGO PICUCHA;PDT;Concorrendo;12900
DILA BANDEIRA;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45657
DIMAS COSTA;PSD;Concorrendo;55456
DINHO MOURA- AUTISMO;REPUBLICANOS;Concorrendo;10088
DIRCEU FRANCISCON;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;44444
DIRCEU QUADROS;PL;Concorrendo;22700
DJALMA DUTRA;FEDERAÇÃO PSOL REDE(PSOL/REDE);Concorrendo;50007
DOMINGUES DA PONTE DO GUAÍBA;PODE;Concorrendo;20006
DOUGLAS BUTZKE;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13778
DOUGLAS DIESEL;PSD;Concorrendo;55225
DR CHOU YI;REPUBLICANOS;Concorrendo;10456
DR. ALVARO MEIRA;PDT;Concorrendo;12888
DR. PAULO BASTOS;PL;Concorrendo;22009
DR. THIAGO;PDT;Concorrendo;12122
DR. TIAGO;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45555
DR.DEIVID SALOME GOULART FILHO;PODE;Concorrendo;20001
DRA JULIE MILANO;PODE;Concorrendo;20800
DRA MARIA DE FÁTIMA;REPUBLICANOS;Concorrendo;10510
DUDA PERES;PODE;Concorrendo;20009
ÉBER LANGONI;NOVO;Concorrendo;30011
EDISON ARNT;PL;Concorrendo;22555
EDIVILSON BRUM;MDB;Concorrendo;15200
EDUARDO LOUREIRO;PDT;Concorrendo;12412
EDUARDO LUCAS;PL;Concorrendo;22118
EFREU QUINTANA;NOVO;Concorrendo;30700
ELANICE MULLER;PODE;Concorrendo;20077
ELIANA BAYER;REPUBLICANOS;Concorrendo;10120
ELIANA OLIVEIRA;DEMOCRATA;Concorrendo;35147
ELICEZIO BRUM DE ALMEIDA;NOVO;Concorrendo;30033
ELIEL ALVES;PL;Concorrendo;22200
ELIZANDRO SABINO;REPUBLICANOS;Concorrendo;10777
ELTON WEBER;PSD;Concorrendo;55120
ELVIS FELTRIN;PL;Concorrendo;22044
ÉMERSON CARDOSO;NOVO;Concorrendo;30111
ENFERMEIRA LILIAN RAMOS;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45100
ENFERMEIRA MICHELE GALVÃO;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45455
ENFERMEIRA SIMONE FANTINEL;REPUBLICANOS;Concorrendo;10200
ENFERMEIRO LUÍS AFONSO;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45400
ENIO TERRA;PODE;Concorrendo;20555
ERIC DOUGLAS;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;44777
ERICK DENIL;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;65444
ERICKA OLIVEIRA;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13300
ERON GARCIA;PL;Concorrendo;22221
ESQUERDA CARNEIRO;PSD;Inapto;55503
EVA VALERIA LORENZATO;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13123
EVÂNIA NUNES;PDT;Concorrendo;12666
EVARISTO RIGHETTO GAÚCHO SOLID;REPUBLICANOS;Concorrendo;10800
EVELYN DO VASQUINHO;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45111
EVERALDO DE OLIVEIRA;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;43430
EVERALDO OLIVEIRA;UP;Concorrendo;80000
EZEQUIEL ROCHA;REPUBLICANOS;Concorrendo;10045
FABI MEDEIROS;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;44181
FABIANO BENITES;FEDERAÇÃO PSOL REDE(PSOL/REDE);Concorrendo;50111
FABIANO DIEHL;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;44333
FABIANY ZOGBI ROIG - FÁ;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;44567
FABY GOMES;FEDERAÇÃO PSOL REDE(PSOL/REDE);Concorrendo;50570
FELIPE TORRES;PL;Concorrendo;22193
FELIPE VARGAS;REPUBLICANOS;Concorrendo;10357
FERNANDA BIDIGARAY;REPUBLICANOS;Concorrendo;10775
FERNANDA BOHN;PODE;Concorrendo;20168
FERNANDA LIMA;REPUBLICANOS;Concorrendo;10123
FERNANDA MACHADO;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45777
FERNANDA MIRANDA;FEDERAÇÃO PSOL REDE(PSOL/REDE);Concorrendo;50999
FERNANDO ESTIMA;REPUBLICANOS;Concorrendo;10322
FERNANDO MESTRE PELÉ;PSD;Concorrendo;55855
FERNANDO POSTAL;MDB;Concorrendo;15150
FERRONY;MDB;Concorrendo;15666
FIFO PARENTI;MDB;Concorrendo;15444
FILIPE GIL;PL;Concorrendo;22022
FREDI ANDRIGO;PODE;Concorrendo;20111
FRIGHETO CAMINHONEIRO;PODE;Concorrendo;20374
GABI ROSA;FEDERAÇÃO PSOL REDE(PSOL/REDE);Concorrendo;50200
GABRIEL DIAS;PODE;Concorrendo;20400
GABRIEL DIEDRICH;MDB;Concorrendo;15800
GABRIELA ORTIZ;PDT;Concorrendo;12132
GARÇOM RONI;PDT;Concorrendo;12999
GARRÃO;PODE;Concorrendo;20089
GAÚCHO DA GERAL;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;11555
GAÚCHO DA NEVE;PL;Concorrendo;22033
GERALDO SILVEIRA;PSB;Concorrendo;40369
