Nome Urna;Coligação;Totalização;Partido
LISSANDRA THOMSEN;MDB;Concorrendo;15077
LORENA PIRES;PSD;Concorrendo;55122
LU SLAVIERO;NOVO;Concorrendo;30777
LUCAS DE FREITAS;PL;Concorrendo;22722
LUCAS DIAS;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45097
LUCIANA GENRO;FEDERAÇÃO PSOL REDE(PSOL/REDE);Concorrendo;50000
LUCIANA MENDES;MDB;Concorrendo;15400
LUCIANE AGAZZI;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;44123
LUCIANE D'AVILA;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;43999
LUCIANO DRUM;NOVO;Concorrendo;30900
LUCIANO FIGUEIREDO - LUKA;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45222
LUCIANO ORSI;PDT;Concorrendo;12222
LUCIANO SILVEIRA;MDB;Concorrendo;15000
LUÍS BENOITT;PL;Concorrendo;22888
LUIS FERNANDO BRAITE;PDT;Concorrendo;12192
LUÍS FERNANDO PIRES;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;11522
LUIZ JACOMINI;PDT;Concorrendo;12500
LUIZ MARENCO;PDT;Concorrendo;12220
LUKY VIEIRA;REPUBLICANOS;Concorrendo;10600
MACIEL;REPUBLICANOS;Concorrendo;10272
MAGAIVER DIAS;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45500
MAGDIEL BISSACO;PL;Concorrendo;22999
MAHMOUD AMER;PL;Concorrendo;22444
MAIQUEL BUTZKE;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;44222
MAÍRA LESSA;PODE;Concorrendo;20020
MANECO HASSEN;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13700
MANINHO;MDB;Concorrendo;15013
MANINHO CARLOS EDUARDO;MDB;Concorrendo;15600
MARA SANTOS;PDT;Concorrendo;12015
MARCELO APOITIA;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45888
MARCELO ARRUDA;PSD;Concorrendo;55755
MARCELO BAGÉ;PL;Concorrendo;22114
MARCELO CORDEIRO;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13003
MARCELO HARTEMINK;REPUBLICANOS;Concorrendo;10000
MARCELO PERNONCINI FILHO;PL;Concorrendo;22831
MARCELO PITOL;PSD;Concorrendo;55001
MARCELO TEIXEIRA;DEMOCRATA;Concorrendo;35022
MÁRCIA BORGES;PDT;Concorrendo;12035
MÁRCIA LIMA;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;23423
MARCIA WEBER;PSD;Concorrendo;55180
MÁRCIO AMARAL;MDB;Concorrendo;15515
MARCIO ANTUNES;MDB;Concorrendo;15115
MARCIO FERREIRA;PSD;Concorrendo;55100
MÁRCIO FREITAS;MDB;Concorrendo;15915
MÁRCIO PATUSSI;PL;Concorrendo;22122
MARCO ALBA;MDB;Concorrendo;15234
MARCO ORSI;PL;Concorrendo;22500
MARCOS FELIPI;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;11023
MARCOS KAYSER;NOVO;Concorrendo;30100
MARCUS VINÍCIUS;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;11211
MARI KURZ;PDT;Concorrendo;12555
MARIA EUNICE;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13513
MARINA BERNARDES;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13456
MARINA CALLEGARO;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13015
MÁRIO AUGUSTO;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;11611
MARISA PROTETORA DE ANIMAIS;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45000
MARISA SILVA;PSB;Concorrendo;40050
MARISOL SANTOS;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45321
MARJORIE SASSET;FEDERAÇÃO PSOL REDE(PSOL/REDE);Concorrendo;50100
MARLI SERPA;REPUBLICANOS;Concorrendo;10107
